q_id,doc_id,Gender,PlayerName,NumSeasons,AvgPER,CareerPoints
1,491,1,Janice Braxton,3,18.13,733
1,492,1,Tom Thacker,4,8.5,721
1,493,1,Michael Ruffin,9,8.21,716
1,494,0,Hanno Mottola,2,7.95,715
1,495,0,Jay Williams,1,12.2,714
1,496,0,Ricky Berry,1,13.1,706
1,497,1,Jessie Hicks,6,12.78,705
1,498,0,Noah Vonleh,3,10.87,693
1,499,1,Andre Spencer,6,10.25,692
1,500,1,Michael Wiley,2,18.0,692
1,501,1,Jenna O'Hea,6,11.52,679
1,502,1,Tal Skinner,2,9.6,660
1,503,1,Elena Tornikidou,3,12.47,657
1,504,0,Wang Zhizhi,7,15.6,651
1,505,0,Jeff Withey,4,17.32,651
1,506,1,Viktor Khryapa,4,9.93,643
1,507,0,Ernie Barrett,2,7.95,641
1,508,1,Krystal Thomas,7,8.73,636
1,509,1,Jessica Moore,7,6.46,633
1,510,0,Eric Mobley,5,8.78,628
1,511,1,Leon Benbow,2,10.85,628
1,512,1,Aneika Henry-Morello,6,11.75,623
1,513,0,Zendon Hamilton,8,13.4,611
1,514,0,Jim Fritsche,4,0.9,607
1,515,0,Tom Black,3,8.03,598
1,516,0,Brian Quinnett,5,7.96,589
1,517,0,Dwayne Schintzius,8,8.74,587
1,518,1,Aari McDonald,2,13.15,587
1,519,0,Elliot Williams,6,9.92,574
1,520,1,Johnny Cox,1,10.3,573
1,521,0,Bill Hosket,4,14.4,573
1,522,1,Kara Wolters,4,14.1,561
1,523,1,Shoni Schimmel,3,14.93,560
1,524,0,Al Masino,4,14.88,560
1,525,1,Ronald Dupree,8,9.04,559
1,526,1,Kristin Haynie,5,10.22,555
1,527,1,Satou Sabally,3,16.3,549
1,528,1,Charlie Yelverton,1,10.3,545
1,529,1,Phil Pressey,5,10.32,544
1,530,1,Cindy Brown,2,16.5,532
1,531,1,Michael Bradley,10,9.64,531
1,532,1,Yvonne Turner,4,8.83,529
1,533,1,Suzie McConnell Serio,3,12.0,521
1,534,0,John Shasky,3,8.77,517
1,535,0,Claude Terry,4,11.72,515
1,536,1,Jaylen Brown,1,10.3,515
1,537,0,Chris Robinson,4,8.65,512
1,538,1,Belinda Snell,6,12.45,509
1,539,0,Frank Oleynick,2,10.25,508
1,540,0,Duck Williams,1,8.6,506
1,541,0,David Vaughn,7,12.49,503
1,542,1,Chantelle Anderson,5,9.5,503
1,543,0,Sean Green,5,5.16,501
1,544,0,Lester Hudson,8,11.4,500
1,545,1,Bob Schafer,4,7.12,497
1,546,0,Didier Ilunga-Mbenga,9,9.66,497
1,547,1,Adia Barnes,7,16.67,495
1,548,0,Bob Peterson,5,12.22,494
1,549,1,Sonja Henning,5,8.0,490
1,550,1,Pamela McGee,2,13.9,488
1,551,0,Reggie Carter,2,9.1,471
1,552,0,Pat Burke,3,9.17,468
1,553,1,Red Owens,3,11.07,460
1,554,1,Steve Sheppard,4,10.57,459
1,555,0,Joe Kennedy,2,3.35,454
1,556,0,Grant Gondrezick,2,11.35,454
1,557,1,John Kuester,3,10.07,451
1,558,1,Luke Harangody,4,10.05,446
1,559,1,Rudy White,7,8.99,445
1,560,0,Oscar Torres,2,13.05,442
1,561,0,Chris Porter,1,11.1,440
1,562,1,Annie La Fleur,4,10.03,439
1,563,0,Alexander Johnson,2,11.05,439
1,564,1,Chantel Tremitiere,4,7.88,438
1,565,1,Lindsay Allen,5,12.86,431
1,566,1,Andrew Harrison,1,8.7,425
1,567,0,Litterial Green,5,4.76,423
1,568,0,Dontonio Wingfield,4,7.45,423
1,569,1,Rick Carlisle,5,3.9,422
1,570,0,Cristiano Felicio,2,16.4,421
1,571,1,Te'a Cooper,2,10.0,420
1,572,1,Daniel Santiago,4,8.25,417
1,573,0,Robert Swift,4,8.07,416
1,574,1,Nadine Malcolm,2,10.85,413
1,575,1,Cleveland Buckner,2,14.85,411
1,576,1,Niele Ivey,5,9.76,408
1,577,0,Vincent Yarbrough,1,9.5,406
1,578,0,Jabari Smith,6,11.58,402
1,579,1,Bill Martin,3,7.8,397
1,580,1,DeAndre Liggins,6,29.95,397
1,581,0,Andre McCarter,3,4.4,392
1,582,1,Katie Gearlds,3,12.5,385
1,583,1,Jermaine Jackson,7,7.73,383
1,584,0,William Avery,3,7.03,379
